,사업장명,상세영업상태명,소재지전체주소,시설규모,kakao_score,lat,lon
178,김녕해수욕장 야영장,폐업,제주특별자치도 제주시 구좌읍 김녕리 488번지,,3.3,33.5581981,126.7619236
179,김녕해수욕장 야영장,폐업,제주특별자치도 제주시 구좌읍 김녕리 488번지,,3.3,33.5581981,126.7619236
180,김녕해수욕장야영장,폐업,제주특별자치도 제주시 구좌읍 김녕리 488번지,,,33.5581981,126.7619236
181,김녕해수욕장야영장,폐업,제주특별자치도 제주시 구좌읍 김녕리 488번지,,,33.5581981,126.7619236
182,김녕해수욕장야영장,폐업,제주특별자치도 제주시 구좌읍 김녕리 488번지,,,33.5581981,126.7619236
183,김녕해수욕장야영장,폐업,제주특별자치도 제주시 구좌읍 김녕리 488번지,,,33.5581981,126.7619236
184,김녕해수욕장야영장,폐업,제주특별자치도 제주시 구좌읍 김녕리 488번지,,,33.5581981,126.7619236
185,김녕해수욕장야영장,폐업,제주특별자치도 제주시 구좌읍 김녕리 488번지,,,33.5581981,126.7619236
186,곽지해수욕장 야영장,폐업,제주특별자치도 제주시 애월읍 곽지리 1565번지,9900.0,5.0,33.4507522,126.3056339
187,곽지해수욕장 야영장,폐업,제주특별자치도 제주시 애월읍 곽지리 1565번지,9900.0,5.0,33.4507522,126.3056339
188,곽지해수욕장야영장,폐업,제주특별자치도 제주시 애월읍 곽지리 1565번지,,,33.4507522,126.3056339
189,곽지해수욕장야영장,폐업,제주특별자치도 제주시 애월읍 곽지리 1565번지,,,33.4507522,126.3056339
190,진부리 마을관리휴양지야영장,폐업,강원도 고성군 간성읍 진부리 66-8번지 진부리마을회관,,,38.2918233,128.3627569
191,진부리 마을관리휴양지야영장,폐업,강원도 고성군 간성읍 진부리 66-8번지 진부리마을회관,,,38.2918233,128.3627569
192,진부리유원지야영장,폐업,강원도 고성군 간성읍 진부리 66-8번지 진부리마을회관,,,38.2918233,128.3627569
193,진부리유원지야영장,폐업,강원도 고성군 간성읍 진부리 66-8번지 진부리마을회관,,,38.2918233,128.3627569
194,동산해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 203-34번지,,,37.9815546,128.7596635
195,동산해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 203-34번지,,,37.9815546,128.7596635
196,동산해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 203-34번지,,,37.9815546,128.7596635
197,동산해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 203-34번지,,,37.9815546,128.7596635
198,동산포해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 90-35번지,,,37.9789861,128.759637
199,동산포해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 90-35번지,,,37.9789861,128.759637
200,동산포해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 90-35번지,,,37.9789861,128.759637
201,동산포해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 90-35번지,,,37.9789861,128.759637
202,동산포해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 90-35번지,,,37.9789861,128.759637
203,동산포해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 90-35번지,,,37.9789861,128.759637
204,동산포해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 90-35번지,,,37.9789861,128.759637
205,동산포해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 90-35번지,,,37.9789861,128.759637
206,동산포해수욕장 야영장,폐업,강원도 양양군 현남면 동산리 90-35번지,,,37.9789861,128.759637
207,정암해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,,,38.1439125,128.6121743
208,정암해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,,,38.1439125,128.6121743
209,정암해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,,,38.1439125,128.6121743
210,정암해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,,,38.1439125,128.6121743
211,정암해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,,,38.1439125,128.6121743
212,정암해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,,,38.1439125,128.6121743
213,정암해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,,,38.1439125,128.6121743
214,정암해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,,,38.1439125,128.6121743
215,정암해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,270.0,,38.1439125,128.6121743
216,정암해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,270.0,,38.1439125,128.6121743
217,정암해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,270.0,,38.1439125,128.6121743
218,정암해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,270.0,,38.1439125,128.6121743
219,정암리해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,,,38.1439125,128.6121743
220,정암리해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,,,38.1439125,128.6121743
221,정암리해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,,,38.1439125,128.6121743
222,정암리해수욕장 야영장,폐업,강원도 양양군 강현면 정암리 1-4번지,,,38.1439125,128.6121743
223,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
224,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
225,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
226,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
227,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
228,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
229,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
230,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
231,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
232,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
233,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
234,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
235,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
236,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
