,소재지전체주소,lat,lon
331,강원도 고성군 간성읍 장신리 513번지 장신유원지휴게소,38.3311617,128.3780879
332,강원도 고성군 죽왕면 오호리 1번지,38.3312378,128.5261964
333,강원도 고성군 간성읍 진부리 66-8번지 진부리마을회관,38.2918233,128.3627569
334,강원도 고성군 죽왕면 삼포리 243-13번지 오션투유콘도,38.3174461,128.530998
335,강원도 고성군 거진읍 거진리 408-9번지,38.440582,128.4538005
336,강원도 고성군 거진읍 반암리 130-1번지,38.4223259,128.4617693
337,강원도 고성군 죽왕면 삼포리 1291번지,38.312521,128.5277157
338,전라남도 보성군 회천면 영천리 1-4번지,34.7124208,127.0853595
339,제주특별자치도 서귀포시 대정읍 하모리 648-2,33.2116584,126.2560246
340,경상남도 양산시 명곡동 3-1번지,35.3533731,129.0893901
341,전라북도 무주군 설천면 삼공리 308번지,35.9094056,127.778289
342,전라북도 무주군 안성면 공정리 120번지,35.839161,127.6939705
343,강원도 영월군 남면 북쌍리 677번지,37.2039049,128.3962994
344,강원도 영월군 주천면 용석리 1281-1번지,37.2201805,128.2757564
345,강원도 고성군 토성면 천진리 169-2번지 천진마트,38.2581741,128.5581281
346,강원도 고성군 토성면 아야진리 249-4번지 일원,38.2794106,128.5528727
347,강원도 고성군 거진읍 거진리 158-75번지,38.4482863,128.4559946
348,강원도 고성군 현내면 초도리 94-7번지 화진포해변관리 사무소,38.4788947,128.4387162
349,강원도 고성군 죽왕면 공현진리 55-1번지,38.3555182,128.5111444
350,경기도 가평군 북면 화악리 834-33,37.9461347,127.5361409
351,경상남도 양산시 주진동 583-41,35.3898015,129.1390031
352,경상남도 양산시 원동면 내포리 712번지,35.3979039,128.9389157
353,경상남도 양산시 하북면 순지리 756-16번지,35.489783,129.0853552
354,경상남도 양산시 원동면 대리 1040-14,35.4295821,128.9876375
355,경상북도 울진군 울진읍 대흥리 76 외 4필지,36.9658439,129.3201549
356,충청북도 청주시 상당구 낭성면 갈산리 341-1번지,36.6553519,127.5760596
357,경기도 고양시 덕양구 내유동 15-3번지,37.7235576,126.8671746
358,서울특별시 영등포구 여의도동 83-6번지,37.5323587,126.9244075
359,서울특별시 영등포구 여의도동 83-6번지,37.5323587,126.9244075
360,서울특별시 영등포구 여의도동 84-9번지,37.5314977,126.9293121
361,서울특별시 영등포구 여의도동 83-6번지,37.5323587,126.9244075
362,강원도 고성군 죽왕면 문암진리 28-1번지,38.3027743,128.5421095
363,강원도 고성군 죽왕면 오호리 181-3번지,38.3284118,128.5247348
364,강원도 고성군 죽왕면 공현진리 97번지,38.3536192,128.5094515
365,강원도 고성군 현내면 초도리 51-4번지,38.486702,128.4339044
366,경기도 가평군 청평면 삼회리 188-1번지,37.7004936,127.3951975
367,경기도 가평군 가평읍 금대리 537-1번지,37.7504085,127.5320818
368,경기도 가평군 청평면 고성리 77-2,37.7054801,127.5162591
369,전라남도 보성군 겸백면 수남리 산 12-6번지,34.82630049999999,127.1970453
370,전라남도 장흥군 부산면 지천리 405번지,34.7505772,126.8934411
371,강원도 영월군 무릉도원면 운학리 1737-15번지,37.3644286,128.1903046
372,강원도 원주시 지정면 판대리 39-3번지,37.3692771,127.8116884
373,강원도 원주시 소초면 학곡리 223-3번지,37.4327464,128.0616891
374,강원도 원주시 신림면 황둔리 1038번지,37.2375879,128.1638668
375,강원도 철원군 갈말읍 내대리 519-11번지,38.1851339,127.30669
376,강원도 철원군 근남면 잠곡리 50-6번지,38.1669038,127.463437
377,경기도 포천시 신북면 심곡리 693번지,37.9258027,127.1769252
378,경상북도 울릉군 울릉읍 사동리 122-3번지,37.48254970000001,130.8931745
379,전라북도 장수군 계남면 신전리 1454-45번지,35.6760364,127.5510388
380,경기도 가평군 설악면 천안리 18,37.6310694,127.4894656
381,강원도 철원군 갈말읍 109번지,38.1476026,127.3082931
